who,date,seiqd,mode,poi_o,poi_d,org_chess_x,org_chess_y,dst_chess_x,dst_chess_y,lambda_o,phi_o,lambda_d,phi_d,migrt,pre_chess_x,pre_chess_y,post_chess_x,post_chess_y,home_distance,trip_distance,weekend,pre_home_distance,post_home_distance,LU_Business,LU_City_Road,LU_Consumption,LU_Culture,LU_Industry,LU_Medical,LU_Park_&_Scenery,LU_Public,LU_Residence,LU_Science_&_Education,LU_Special,LU_Transportation,LU_Wild,trip_routelen,stime,etime
36384703,20190121,2,1,7,0,129,48,116,78,114.0643988,22.55403194,114.0338301,22.62154859,20190706,117,78,147,39,1,32.69556545,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,8885.289,2019/1/21 11:07,2019/1/21 12:16
36384703,20190123,1,4,0,2,116,78,126,37,114.0338301,22.62154859,114.0585478,22.52980878,20190706,117,78,147,39,41.97618372,42.20189569,FALSE,41.97618372,21.09502311,0,0.957168232,0,0.30722302,0,0,0,0,0.405851079,0.044179975,0,0,0.185311777,11897.829,2019/1/23 10:23,2019/1/23 10:38
36384703,20190123,2,4,2,0,126,37,116,78,114.0585478,22.52980878,114.0338301,22.62154859,20190706,117,78,147,39,1,42.20189569,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11897.829,2019/1/23 17:40,2019/1/23 18:21
36384703,20190124,1,1,0,1,116,78,119,43,114.0338301,22.62154859,114.041782,22.54470908,20190706,117,78,147,39,35.05709629,35.12833614,FALSE,35.05709629,28.28427125,0.330412522,0.90523294,0,0,0,0,0.061616154,0.625118162,0.874632989,0.087017693,0,0,0.027380078,11424.598,2019/1/24 8:09,2019/1/24 8:28
36384703,20190124,2,1,1,0,119,43,116,78,114.041782,22.54470908,114.0338301,22.62154859,20190706,117,78,147,39,1,35.12833614,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11424.598,2019/1/24 10:27,2019/1/24 10:36
36384703,20190126,1,4,0,3,116,78,109,42,114.0338301,22.62154859,114.0152225,22.54178126,20190706,117,78,147,39,36.87817783,36.67424164,TRUE,36.87817783,38.11823711,0.398269982,0.544652268,0.43170403,0.551344509,0,0.005500271,0,0,1.256251975,0.128369402,0,0,0,11863.337,2019/1/26 13:38,2019/1/26 14:11
36384703,20190126,2,4,3,4,109,42,124,60,114.0152225,22.54178126,114.0521102,22.5808111,20190706,117,78,147,39,19.31320792,23.43074903,TRUE,19.31320792,31.144823,0.175872737,0.765085833,0.774322169,0,0,0,0,0.00527131,0,2.76E-06,0,0,0.231347969,7753.893,2019/1/26 17:01,2019/1/26 17:11
36384703,20190126,3,1,4,0,124,60,116,78,114.0521102,22.5808111,114.0338301,22.62154859,20190706,117,78,147,39,1,19.6977156,TRUE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,8178.378,2019/1/26 19:11,2019/1/26 19:13
36384703,20190127,1,1,0,4,116,78,124,60,114.0338301,22.62154859,114.0521102,22.5808111,20190706,117,78,147,39,19.31320792,19.6977156,TRUE,19.31320792,31.144823,0.175872737,0.765085833,0.774322169,0,0,0,0,0.00527131,0,2.76E-06,0,0,0.231347969,8178.378,2019/1/27 14:39,2019/1/27 14:42
36384703,20190127,2,1,4,0,124,60,116,78,114.0521102,22.5808111,114.0338301,22.62154859,20190706,117,78,147,39,1,19.6977156,TRUE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,8178.378,2019/1/27 15:55,2019/1/27 15:57
36384703,20190128,1,1,0,1,116,78,119,43,114.0338301,22.62154859,114.041782,22.54470908,20190706,117,78,147,39,35.05709629,35.12833614,FALSE,35.05709629,28.28427125,0.330412522,0.90523294,0,0,0,0,0.061616154,0.625118162,0.874632989,0.087017693,0,0,0.027380078,11424.598,2019/1/28 8:34,2019/1/28 8:42
